step,train_loss,train_acc,dev_loss,dev_acc
0,0.06879504770040512,0,1.0029385089874268,0
100,0.3017100393772125,0,1.0013467073440552,0
200,0.20590417087078094,0,1.0001319646835327,0
300,0.04577053338289261,0,0.9986109733581543,0
400,0.11420994997024536,0,0.9960202574729919,0
500,0.045139577239751816,0,0.9925163388252258,0
600,2.159999370574951,0,0.9859839677810669,0
700,1.6398481130599976,0,0.9764063358306885,0
800,0.2701028287410736,0,0.959473729133606,0
900,0.1473199725151062,0,0.9456179141998291,0
1000,0.13799449801445007,0,0.9337489008903503,0
1100,0.01625603623688221,0,0.9233021140098572,0
1200,0.0054027424193918705,0,0.9100055694580078,0
1300,6.726389408111572,0,0.8997275233268738,0
1400,0.010749699547886848,0,0.8837286233901978,0
1500,5.795655250549316,0,0.8585037589073181,0
1600,0.10014559328556061,0,0.8265027403831482,0
1700,0.00754003319889307,0,0.7773846387863159,0
1800,1.1202871799468994,0,0.7250442504882812,0
1900,0.004695035517215729,0,0.645489513874054,0
2000,0.00840537529438734,0,0.5721213221549988,0
2100,0.010497303679585457,0,0.4990123212337494,0
2200,0.004850551951676607,0,0.3890278935432434,0
2300,0.3137624263763428,0,0.2669450640678406,0
2400,0.003737368853762746,0,0.200545996427536,0
2500,0.01258900761604309,0,0.13099464774131775,0
2600,0.0019009094685316086,0,0.084388367831707,0
2700,0.20691902935504913,0,0.0650830864906311,0
2800,0.004607540555298328,0,0.05792853981256485,0
2900,0.002478689420968294,0,0.05444265529513359,0
3000,0.005913048051297665,0,0.03954653814435005,0
3100,0.0018408519681543112,0,0.03296685218811035,0
3200,0.038416601717472076,0,0.03392968699336052,0
3300,0.043777067214250565,0,0.03166471794247627,0
3400,0.04681183397769928,0,0.0323808528482914,0
3500,0.1452808529138565,0,0.028483623638749123,0
3600,0.5064637660980225,0,0.024897500872612,0
3700,0.06212707236409187,0,0.025174658745527267,0
3800,0.05671576410531998,0,0.023546237498521805,0
3900,0.19059033691883087,0,0.020448125898838043,0
4000,0.36255404353141785,0,0.02064734511077404,0
4100,0.01573341153562069,0,0.01841461844742298,0
4200,0.021534349769353867,0,0.02274772711098194,0
4300,0.008862530812621117,0,0.018765699118375778,0
4400,0.1519867479801178,0,0.01727217249572277,0
4500,0.03692160174250603,0,0.016989603638648987,0
4600,0.0038078301586210728,0,0.023726338520646095,0
4700,0.03013482317328453,0,0.018554817885160446,0
4800,0.09936998039484024,0,0.020558791235089302,0
4900,0.005280913785099983,0,0.027927519753575325,0
5000,0.03703189641237259,0,0.021734848618507385,0
5100,0.0024165399372577667,0,0.025304391980171204,0
5200,0.01771693117916584,0,0.026219481602311134,0
5300,0.055776823312044144,0,0.03417018800973892,0
5400,0.01191726140677929,0,0.02753368951380253,0
5500,0.0029505824204534292,0,0.027049947530031204,0
5600,0.036667145788669586,0,0.028988664969801903,0
5700,0.012719616293907166,0,0.03077452816069126,0
5800,0.021834922954440117,0,0.03193606436252594,0
5900,0.0163828544318676,0,0.03971089795231819,0
6000,0.003394861239939928,0,0.037532273679971695,0
6100,0.024128086864948273,0,0.039212822914123535,0
6200,0.017305944114923477,0,0.04094439372420311,0
6300,0.007673265878111124,0,0.04000347480177879,0
6400,0.0017401395598426461,0,0.04221426695585251,0
6500,0.005569469649344683,0,0.03906059265136719,0
6600,0.040779877454042435,0,0.04115317016839981,0
6700,0.005895575042814016,0,0.03909992426633835,0
6800,0.005688277073204517,0,0.042572882026433945,0
6900,0.00987650640308857,0,0.03934677690267563,0
7000,0.018009211868047714,0,0.04188639298081398,0
7100,0.007815781980752945,0,0.04831472784280777,0
7200,0.005111066158860922,0,0.03990902751684189,0
7300,0.002523964736610651,0,0.047220177948474884,0
7400,0.01571093685925007,0,0.043922871351242065,0
7500,0.0013167192228138447,0,0.04565182328224182,0
7600,0.008922684006392956,0,0.04604819044470787,0
7700,0.023369604721665382,0,0.04887530207633972,0
7800,0.003306558821350336,0,0.04023900628089905,0
7900,0.014790395274758339,0,0.035140521824359894,0
8000,0.0023746986407786608,0,0.037403665482997894,0
8100,0.002539475914090872,0,0.038688816130161285,0
8200,0.0017047000583261251,0,0.046305615454912186,0
8300,0.0023923381231725216,0,0.04586873948574066,0
8400,0.006470397114753723,0,0.03868503496050835,0
8500,0.0015020162099972367,0,0.04185507446527481,0
8600,0.002862305613234639,0,0.04272029176354408,0
8700,0.0017647743225097656,0,0.04905928298830986,0
8800,0.005779332481324673,0,0.04582210257649422,0
8900,0.002859162399545312,0,0.050297997891902924,0
9000,0.03332536667585373,0,0.04836076870560646,0
9100,0.006973644252866507,0,0.041605670005083084,0
9200,0.004459361080080271,0,0.04892021045088768,0
9300,0.013328470289707184,0,0.04270916432142258,0
9400,0.011479126289486885,0,0.04095929116010666,0
9500,0.0028107028920203447,0,0.042633458971977234,0
9600,0.004250437021255493,0,0.05281780660152435,0
9700,0.0014473863411694765,0,0.04221902787685394,0
9800,0.0036708537954837084,0,0.043699439615011215,0
9900,0.005090636666864157,0,0.047852493822574615,0
